Bodegas Caro,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
The Mountain Winery,California,California,US,4/1/2018,4/1/2018,
Yalumba,Eden Valley,South Australia,Australia,4/1/2018,4/1/2018,
Gauchezco,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Manuel Olivier,Vosne-Romanée,Burgundy,France,4/1/2018,4/1/2018,
Colli di Castelfranci,Taurasi,Southern Italy,Italy,4/1/2018,4/1/2018,
Crushed,California,California,US,4/1/2018,4/1/2018,
Cuvée Wine Cellars,Russian River Valley,California,US,4/1/2018,4/1/2018,
Di Giovanna,Terre Siciliane,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Domaine Antonin Guyon,Savigny-lès-Beaune,Burgundy,France,4/1/2018,4/1/2018,
Domaine Pouillon,Horse Heaven Hills,Washington,US,4/1/2018,4/1/2018,
Donnafugata,Terre Siciliane,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Duca di Salaparuta,Terre Siciliane,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Pere Ventura,Cava,Catalonia,Spain,4/1/2018,4/1/2018,
Sorrentino,Pompeiano,Southern Italy,Italy,4/1/2018,4/1/2018,
Tommasone,Epomeo,Southern Italy,Italy,4/1/2018,4/1/2018,
Villa Matilde,Roccamonfina,Southern Italy,Italy,4/1/2018,4/1/2018,
Viridiana,Ribera del Duero,Northern Spain,Spain,4/1/2018,4/1/2018,
Bonny Doon,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Élevée Winegrowers,Dundee Hills,Oregon,US,4/1/2018,4/1/2018,
Jean-Baptiste Adam,Crémant d'Alsace,Alsace,France,4/1/2018,4/1/2018,
Pellet Estate,Napa Valley,California,US,4/1/2018,4/1/2018,
Richard Rottiers,Moulin-à-Vent,Beaujolais,France,4/1/2018,4/1/2018,
Robert Biale,Oak Knoll District,California,US,4/1/2018,4/1/2018,
Talley,Edna Valley,California,US,4/1/2018,4/1/2018,
Zusslin,Crémant d'Alsace,Alsace,France,4/1/2018,4/1/2018,
Arcudi,Howell Mountain,California,US,4/1/2018,4/1/2018,
Barbieri,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Bella,Rockpile,California,US,4/1/2018,4/1/2018,
Quinta da Calçada,,Minho,Portugal,4/1/2018,4/1/2018,
SonVida,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Hacormim,,Israel,Israel,4/1/2018,4/1/2018,
Jaffelin,Chorey-lès-Beaune,Burgundy,France,4/1/2018,4/1/2018,
Jean-Luc and Paul Aegerter,Hautes Côtes de Nuits,Burgundy,France,4/1/2018,4/1/2018,
Moccagatta,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Orgo,,Kakheti,Georgia,4/1/2018,4/1/2018,
Patriarche Père et Fils,Chablis,Burgundy,France,4/1/2018,4/1/2018,
Patriarche Père et Fils,Pouilly-Fuissé,Burgundy,France,4/1/2018,4/1/2018,
Quimay,Neuquén,Other,Argentina,4/1/2018,4/1/2018,
Quinta da Calçada,,Vinho Verde,Portugal,4/1/2018,4/1/2018,
Quinta do Passadouro,,Port,Portugal,4/1/2018,4/1/2018,
Raineri Gianmatteo,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Renzo Seghesio,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Rivetti Massimo,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Schuchmann Wines,,Kakheti,Georgia,4/1/2018,4/1/2018,
Shumi Winery,,Kakheti,Georgia,4/1/2018,4/1/2018,
St. Donat,,,,4/1/2018,4/1/2018,
Terra Bella,Chalk Hill,California,US,4/1/2018,4/1/2018,
The Divining Rod,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Alex Gambal,Bourgogne,Burgundy,France,4/1/2018,4/1/2018,
Legendre,Amador County,California,US,4/1/2018,4/1/2018,
Malk,Napa Valley,California,US,4/1/2018,4/1/2018,
Latium di Morini,Valpolicella Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Le Marognole,Valpolicella Classico Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Lionel Osmin & Cie,Marcillac,Southwest France,France,4/1/2018,4/1/2018,
Manara,Amarone della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Pasqua,Valpolicella Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Recchia,Valpolicella Classico Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Rubinelli Vajol,Valpolicella Classico Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
François Lurton,Côtes du Roussillon Villages,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Begali,Amarone della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Brady Family,Napa Valley,California,US,4/1/2018,4/1/2018,
Chandon,Mount Veeder,California,US,4/1/2018,4/1/2018,
Cor Cellars,Horse Heaven Hills,Washington,US,4/1/2018,4/1/2018,
Trapezio,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
VinRoc,Napa Valley,California,US,4/1/2018,4/1/2018,
Les Vignerons de Tautavel Vingrau,Côtes du Roussillon Villages,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
LangeTwins,California,California,US,4/1/2018,4/1/2018,
Delibori,Valpolicella Classico Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Surfrider,California,California,US,4/1/2018,4/1/2018,
Tall Poppy,South Eastern Australia,Australia Other,Australia,4/1/2018,4/1/2018,
Wild Horse,Paso Robles,California,US,4/1/2018,4/1/2018,
Derbes,Russian River Valley,California,US,4/1/2018,4/1/2018,
Enkidu,Russian River Valley,California,US,4/1/2018,4/1/2018,
Bodegas Copaboca,Toro,Northern Spain,Spain,4/1/2018,4/1/2018,
Spotted Owl,Sonoma Valley,California,US,4/1/2018,4/1/2018,
Bodegas Navarro López,Tierra de Castilla,Central Spain,Spain,4/1/2018,4/1/2018,
Borges,,Vinho Espumante de Qualidade,Portugal,4/1/2018,4/1/2018,
Santa Florentina,Famatina Valley,Other,Argentina,4/1/2018,4/1/2018,
Chilensis,,Casablanca Valley,Chile,4/1/2018,4/1/2018,
Donelan,Sonoma County,California,US,4/1/2018,4/1/2018,
Arrowood,Sonoma Valley,California,US,4/1/2018,4/1/2018,
Barton & Guestier,Graves,Bordeaux,France,4/1/2018,4/1/2018,
Château Bonnet,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Undurraga,,Rapel Valley,Chile,4/1/2018,4/1/2018,
Veramonte,,Casablanca Valley,Chile,4/1/2018,4/1/2018,
Vistamar,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Neil Ellis,,Stellenbosch,South Africa,4/1/2018,4/1/2018,
Novy,Green Valley,California,US,4/1/2018,4/1/2018,
Neyen,,Colchagua Valley,Chile,4/1/2018,4/1/2018,
Quinta do Perdigão,,Dão,Portugal,4/1/2018,4/1/2018,
Sabotage,Napa Valley,California,US,4/1/2018,4/1/2018,
Sextant,El Pomar District,California,US,4/1/2018,4/1/2018,
Siduri,Sonoma Mountain,California,US,4/1/2018,4/1/2018,
Syrahmi,Heathcote,Victoria,Australia,4/1/2018,4/1/2018,
Azelia,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Chalone,Chalone,California,US,4/1/2018,4/1/2018,
Château Beychevelle,Saint-Julien,Bordeaux,France,4/1/2018,4/1/2018,
Clos Haut-Peyraguey,Sauternes,Bordeaux,France,4/1/2018,4/1/2018,
Weatherborne,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Château Chauvin,Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
Château Cône-Taillasson Sabourin,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château de Birot,Cadillac Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château des Landes,Lussac Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
Château La Rame,Cadillac Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Les Grands Maréchaux,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château L'Escadre,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Moulin de Guiet,Côtes de Bourg,Bordeaux,France,4/1/2018,4/1/2018,
Three Rivers,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Vestini Campagnano,Galluccio,Southern Italy,Italy,4/1/2018,4/1/2018,
Vins El Cep,Cava,Catalonia,Spain,4/1/2018,4/1/2018,
Domaine Dominique Gruhier,Bourgogne Epineuil,Burgundy,France,4/1/2018,4/1/2018,
Domaine Sophie Cinier,Mâcon-Villages,Burgundy,France,4/1/2018,4/1/2018,
Girly Girl,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Montevetrano,Colli di Salerno,Southern Italy,Italy,4/1/2018,4/1/2018,
Pierre André,Pouilly-Fuissé,Burgundy,France,4/1/2018,4/1/2018,
Cipriana,Bolgheri,Tuscany,Italy,4/1/2018,4/1/2018,
Domaine Sangouard-Guyot,Mâcon-Villages,Burgundy,France,4/1/2018,4/1/2018,
Fattoria Lavacchio,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Flocchini,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Aje,Alexander Valley,California,US,4/1/2018,4/1/2018,
Alexander,,Galilee,Israel,4/1/2018,4/1/2018,
Altadonna,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Bernard Magrez,,Guerrouane,Morocco,4/1/2018,4/1/2018,
L'Antica Fornace di Ridolfo,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Domaine Jessiaume,Bourgogne,Burgundy,France,4/1/2018,4/1/2018,
Pessagno,Monterey County,California,US,4/1/2018,4/1/2018,
Peter Paul Wines,Napa Valley,California,US,4/1/2018,4/1/2018,
Producta Vignobles,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Robert Gilliard,,Valais,Switzerland,4/1/2018,4/1/2018,
Roxanich,,Istria,Croatia,4/1/2018,4/1/2018,
Sarotto,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Stemmler,Russian River Valley,California,US,4/1/2018,4/1/2018,
Tenuta L'Illuminata,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Alma Sol,Paso Robles,California,US,4/1/2018,4/1/2018,
Bera,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Gianelli,Tuolumne County,California,US,4/1/2018,4/1/2018,
Mas du Fadan,Côtes-du-Ventoux,Rhône Valley,France,4/1/2018,4/1/2018,
Plumb Cellars,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Watermill,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Temps de Flors,Penedès,Catalonia,Spain,4/1/2018,4/1/2018,
Txomín Etxaníz,Getariako Txakolina,Northern Spain,Spain,4/1/2018,4/1/2018,
Valtea,Rías Baixas,Galicia,Spain,4/1/2018,4/1/2018,
Feudi di San Marzano,Salice Salentino,Southern Italy,Italy,4/1/2018,4/1/2018,
Bründlmayer,,Österreichischer Sekt,Austria,4/1/2018,4/1/2018,
Santa Monica,,Rapel Valley,Chile,4/1/2018,4/1/2018,
Château Bouissel,,Southwest France,France,4/1/2018,4/1/2018,
Château Maison Blanche,Médoc,Bordeaux,France,4/1/2018,4/1/2018,
Château Thénac,Bergerac Sec,Southwest France,France,4/1/2018,4/1/2018,
Epilogue,North Coast,California,US,4/1/2018,4/1/2018,
Fiddletown Cellars,Amador County,California,US,4/1/2018,4/1/2018,
Les Parcelles de Stéphane Derenoncourt,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Mesa,Vermentino di Sardegna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Pepi,California,California,US,4/1/2018,4/1/2018,
Pessagno,Monterey,California,US,4/1/2018,4/1/2018,
San Nicolas,,Maule Valley,Chile,4/1/2018,4/1/2018,
Spadafora,Sicilia,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Stinson,Virginia,Virginia,US,4/1/2018,4/1/2018,
Huntington,Alexander Valley,California,US,4/1/2018,4/1/2018,
Kenwood,Russian River Valley,California,US,4/1/2018,4/1/2018,
Château Tour Prignac,Médoc,Bordeaux,France,4/1/2018,4/1/2018,
Con Carne,,Central Valley,Chile,4/1/2018,4/1/2018,
De Martino,,Choapa Valley,Chile,4/1/2018,4/1/2018,
Domaine Bru-Baché,Jurançon Sec,Southwest France,France,4/1/2018,4/1/2018,
Domaine des Nugues,Beaujolais Rosé,Beaujolais,France,4/1/2018,4/1/2018,
Georges Vigouroux,Côtes de Gascogne,Southwest France,France,4/1/2018,4/1/2018,
Poderi Angelini,Tarantino,Southern Italy,Italy,4/1/2018,4/1/2018,
Château Cantinot,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Gréteau Médeville,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Château Saint-Sulpice,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Homage,Calistoga,California,US,4/1/2018,4/1/2018,
Weszeli,,Niederösterreich,Austria,4/1/2018,4/1/2018,
Tritano,Montepulciano d'Abruzzo,Central Italy,Italy,4/1/2018,4/1/2018,
Edmond August,Paso Robles,California,US,4/1/2018,4/1/2018,
Fernández Gómez,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Maison Sichel,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Bocale,Montefalco Rosso,Central Italy,Italy,4/1/2018,4/1/2018,
Château Vieux Robin,Médoc,Bordeaux,France,4/1/2018,4/1/2018,
Contucci,Vino Nobile di Montepulciano,Tuscany,Italy,4/1/2018,4/1/2018,
Ramey,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Tenuta Sette Cieli,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Terralsole,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Domaine Vincent Stoeffler,Alsace,Alsace,France,4/1/2018,4/1/2018,
Goat Bubbles,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Graziano,Mendocino,California,US,4/1/2018,4/1/2018,
Aberrant Cellars,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Ancient Peaks,Santa Margarita Ranch,California,US,4/1/2018,4/1/2018,
South Coast,South Coast,California,US,4/1/2018,4/1/2018,
Longevity,Sierra Foothills,California,US,4/1/2018,4/1/2018,
Namasté Vineyards,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Finnegan's Lake,California,California,US,4/1/2018,4/1/2018,
Kendall-Jackson,Napa Valley,California,US,4/1/2018,4/1/2018,
Rubicon Estate,Rutherford,California,US,4/1/2018,4/1/2018,
Kaesler,Barossa Valley,South Australia,Australia,4/1/2018,4/1/2018,
Quinta da Lixa,,Minho,Portugal,4/1/2018,4/1/2018,
Quinta da Raza,,Minho,Portugal,4/1/2018,4/1/2018,
Ribbon Cliff,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Sola,California,California,US,4/1/2018,4/1/2018,
Sweetzer Cellars,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Vie di Romans,Friuli Isonzo,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Villa Yustina,,Thracian Valley,Bulgaria,4/1/2018,4/1/2018,
Viña Maipo,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Budureasca,,Dealu Mare,Romania,4/1/2018,4/1/2018,
Finca Patagonia,,Maule Valley,Chile,4/1/2018,4/1/2018,
Sharecropper's,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Martha Clara,North Fork of Long Island,New York,US,4/1/2018,4/1/2018,
Red Tail Ridge,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Round Hill,California,California,US,4/1/2018,4/1/2018,
Bautista Simona,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Château Cahuzac,Fronton,Southwest France,France,4/1/2018,4/1/2018,
Duchessa Lia,Brachetto d'Acqui,Piedmont,Italy,4/1/2018,4/1/2018,
Château Tour des Gendres,Bergerac,Southwest France,France,4/1/2018,4/1/2018,
Pelvillain Frères,Côtes du Lot,Southwest France,France,4/1/2018,4/1/2018,
R2,Sonoma Coast,California,US,4/1/2018,4/1/2018,
True Myth,Edna Valley,California,US,4/1/2018,4/1/2018,
UDACA,,Dão,Portugal,4/1/2018,4/1/2018,
Virginia Dare,Russian River Valley,California,US,4/1/2018,4/1/2018,
Montalvo Wilmot,Vino de la Tierra de Castilla,Central Spain,Spain,4/1/2018,4/1/2018,
Madrigal,Calistoga,California,US,4/1/2018,4/1/2018,
Marcolino Sebo,,Alentejano,Portugal,4/1/2018,4/1/2018,
Matrix,Russian River Valley,California,US,4/1/2018,4/1/2018,
Messias,,Douro,Portugal,4/1/2018,4/1/2018,
Montes,,Aconcagua Costa,Chile,4/1/2018,4/1/2018,
Larner,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
Monte Branco,,Alentejano,Portugal,4/1/2018,4/1/2018,
Jean-Maurice Raffault,Chinon,Loire Valley,France,4/1/2018,4/1/2018,
La Tunella,Colli Orientali del Friuli,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Manincor,Alto Adige,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Château Gaudrelle,Vouvray,Loire Valley,France,4/1/2018,4/1/2018,
Couly-Dutheil,Chinon,Loire Valley,France,4/1/2018,4/1/2018,
Domaine des Berthiers,Pouilly-Fumé,Loire Valley,France,4/1/2018,4/1/2018,
Domaine des Roches Neuves,Saumur,Loire Valley,France,4/1/2018,4/1/2018,
Viña La Rosa,,Cachapoal Valley,Chile,4/1/2018,4/1/2018,
Vodopivec,Venezia Giulia,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Producteurs Plaimont,Saint-Mont,Southwest France,France,4/1/2018,4/1/2018,
Poggio Bonelli,Chianti Classico,Tuscany,Italy,4/1/2018,4/1/2018,
Stephen Vincent,Sonoma County,California,US,4/1/2018,4/1/2018,
Vicente Gandia,Ribera del Duero,Northern Spain,Spain,4/1/2018,4/1/2018,
Acre Twenty-one,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Artimino,Chianti,Tuscany,Italy,4/1/2018,4/1/2018,
Barnard Griffin,Columbia Gorge (WA),Washington,US,4/1/2018,4/1/2018,
Goose Ridge,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Canihan,Sonoma County,California,US,4/1/2018,4/1/2018,
Château de l'Aubrade,Bordeaux Rosé,Bordeaux,France,4/1/2018,4/1/2018,
Château de Piote,Crémant de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château des Antonins,Bordeaux Rosé,Bordeaux,France,4/1/2018,4/1/2018,
Château Haut Vieux Chêne,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Jean de Bel Air,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Maison Noble,Bordeaux Rosé,Bordeaux,France,4/1/2018,4/1/2018,
Château Ramage la Batisse,Bordeaux Rosé,Bordeaux,France,4/1/2018,4/1/2018,
Château Grand Jean,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Conde Bel,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Esser,Monterey County,California,US,4/1/2018,4/1/2018,
Hudson Shah,Red Mountain,Washington,US,4/1/2018,4/1/2018,
Château de Marsan,Bordeaux Clairet,Bordeaux,France,4/1/2018,4/1/2018,
Château Taussin,Bordeaux Rosé,Bordeaux,France,4/1/2018,4/1/2018,
Monteci,Amarone della Valpolicella,Veneto,Italy,4/1/2018,4/1/2018,
Pasqua,Amarone della Valpolicella,Veneto,Italy,4/1/2018,4/1/2018,
Putah Creek,Solano County,California,US,4/1/2018,4/1/2018,
Sexual Chocolate,California,California,US,4/1/2018,4/1/2018,
Joseph Carr,Napa County,California,US,4/1/2018,4/1/2018,
Koehler,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
La Val,Rías Baixas,Galicia,Spain,4/1/2018,4/1/2018,
Viña Aquitania,,Malleco,Chile,4/1/2018,4/1/2018,
Yaffo,,Ella Valley,Israel,4/1/2018,4/1/2018,
Domaine Vico,Corse,France Other,France,4/1/2018,4/1/2018,
Anglim,Paso Robles,California,US,4/1/2018,4/1/2018,
Aresti,,Colchagua Valley,Chile,4/1/2018,4/1/2018,
Two Horns,California,California,US,4/1/2018,4/1/2018,
Louis Max,Mâcon-Villages,Burgundy,France,4/1/2018,4/1/2018,
Öko,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Adega Mayor,,Alentejano,Portugal,4/1/2018,4/1/2018,
Cave de Lugny,Mâcon-Lugny,Burgundy,France,4/1/2018,4/1/2018,
Compilation,Edna Valley,California,US,4/1/2018,4/1/2018,
Cuckoo's Nest,Oregon,Oregon,US,4/1/2018,4/1/2018,
Domaine Paquet et Fils,Pouilly-Fuissé,Burgundy,France,4/1/2018,4/1/2018,
Tarara,Middleburg,Virginia,US,4/1/2018,4/1/2018,
ZinPhomaniac,Sonoma County,California,US,4/1/2018,4/1/2018,
Domaine Cazes,Côtes Catalanes,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Domaine Saumaize-Michelin,Mâcon-Villages,Burgundy,France,4/1/2018,4/1/2018,
Gaia Wines,,Santorini,Greece,4/1/2018,4/1/2018,
Hibou,Marin County,California,US,4/1/2018,4/1/2018,
Kendall-Jackson,Central Coast,California,US,4/1/2018,4/1/2018,
McKinney,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
Raptor Ridge,Eola-Amity Hills,Oregon,US,4/1/2018,4/1/2018,
Château Fonfroide,Bordeaux Rosé,Bordeaux,France,4/1/2018,4/1/2018,
Domaine Saint-Rémy,Alsace,Alsace,France,4/1/2018,4/1/2018,
Tenute Soletta,Cannonau di Sardegna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Villa Matilde,Greco di Tufo,Southern Italy,Italy,4/1/2018,4/1/2018,
Legacy,Alexander Valley,California,US,4/1/2018,4/1/2018,
Château la Tour Blanche,Sauternes,Bordeaux,France,4/1/2018,4/1/2018,
J Vineyards & Winery,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Waxwing,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Bodkin,Russian River Valley,California,US,4/1/2018,4/1/2018,
Joullian,Arroyo Seco,California,US,4/1/2018,4/1/2018,
Neudorf,,Nelson,New Zealand,4/1/2018,4/1/2018,
Joseph Drouhin,Puligny-Montrachet,Burgundy,France,4/1/2018,4/1/2018,
Kelby James Russell,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Luiano,Chianti Classico,Tuscany,Italy,4/1/2018,4/1/2018,
Altocedro,Uco Valley,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Patit Creek Cellars,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Pennywise,California,California,US,4/1/2018,4/1/2018,
Ponchione Maurizio,Barbera d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Sherwood Estate,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Staete Landt,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Terre d'Aleramo,Dolcetto di Monferrato,Piedmont,Italy,4/1/2018,4/1/2018,
IL Gioiello,Amador County,California,US,4/1/2018,4/1/2018,
Ca' dei Mandorli,Barbera d'Asti,Piedmont,Italy,4/1/2018,4/1/2018,
Dogliotti 1870,Barbera d'Asti,Piedmont,Italy,4/1/2018,4/1/2018,
Gancia,Prosecco,Veneto,Italy,4/1/2018,4/1/2018,
Pertinace,Barbera d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Petaluma,Clare Valley,South Australia,Australia,4/1/2018,4/1/2018,
Château Rouget,Pomerol,Bordeaux,France,4/1/2018,4/1/2018,
Château Sérilhan,Saint-Estèphe,Bordeaux,France,4/1/2018,4/1/2018,
Clos l'Eglise,Pomerol,Bordeaux,France,4/1/2018,4/1/2018,
Davies,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Domaine du Pegau,Châteauneuf-du-Pape,Rhône Valley,France,4/1/2018,4/1/2018,
Feudi di San Gregorio,Taurasi,Southern Italy,Italy,4/1/2018,4/1/2018,
Trinchero,Mount Veeder,California,US,4/1/2018,4/1/2018,
Vignerons de Caractère,Châteauneuf-du-Pape,Rhône Valley,France,4/1/2018,4/1/2018,
Château la Bienfaisance,Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
Château Lascombes,Margaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Paloumey,Haut-Médoc,Bordeaux,France,4/1/2018,4/1/2018,
Di Meo,Irpinia,Southern Italy,Italy,4/1/2018,4/1/2018,
Montevetrano,Campania,Southern Italy,Italy,4/1/2018,4/1/2018,
Aiken,Howell Mountain,California,US,4/1/2018,4/1/2018,
Robert Ramsay,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Starling Castle,,Pfalz,Germany,4/1/2018,4/1/2018,
Tenuta Cavalier Pepe,Taurasi,Southern Italy,Italy,4/1/2018,4/1/2018,
Vignerons des Terres Secrètes,Mâcon La Roche Vineuse,Burgundy,France,4/1/2018,4/1/2018,
Weingut Albert Gessinger,,Mosel,Germany,4/1/2018,4/1/2018,
WillowBrook Cellars,Sonoma Mountain,California,US,4/1/2018,4/1/2018,
Donato D'Angelo,Aglianico del Vulture,Southern Italy,Italy,4/1/2018,4/1/2018,
Gérard Loriot,Champagne,Champagne,France,4/1/2018,4/1/2018,
J. Bäumer,,Germany,Germany,4/1/2018,4/1/2018,
Chalk Hill,Russian River Valley,California,US,4/1/2018,4/1/2018,
San Marcos Creek,Paso Robles,California,US,4/1/2018,4/1/2018,
Aurora Cellars,,Serra Gaúcha,Brazil,4/1/2018,4/1/2018,
Backhouse,California,California,US,4/1/2018,4/1/2018,
Benziger,Carneros,California,US,4/1/2018,4/1/2018,
Bodegas y Viñedos Noe,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Greedy,Alexander Valley,California,US,4/1/2018,4/1/2018,
DSG Vineyards,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Jettlynn,Paso Robles,California,US,4/1/2018,4/1/2018,
Lidio Carraro,,Vale dos Vinhedos,Brazil,4/1/2018,4/1/2018,
Borgo San Daniele,Isonzo del Friuli,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Chacewater,Red Hills Lake County,California,US,4/1/2018,4/1/2018,
Dilao,,Kakheti,Georgia,4/1/2018,4/1/2018,
Quinta das Marias,,Dão,Portugal,4/1/2018,4/1/2018,
Quinta de Soalheiro,,Minho,Portugal,4/1/2018,4/1/2018,
Seufert,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Teliani Valley,,Georgia,Georgia,4/1/2018,4/1/2018,
Treana,Central Coast,California,US,4/1/2018,4/1/2018,
Valdivieso,,Peumo,Chile,4/1/2018,4/1/2018,
Vinkara,,Ankara,Turkey,4/1/2018,4/1/2018,
Colcanyon,South Coast,California,US,4/1/2018,4/1/2018,
Dolin,Malibu Coast,California,US,4/1/2018,4/1/2018,
Domaine Netofa,,Galilee,Israel,4/1/2018,4/1/2018,
Eternal,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Hilt & Blade,Lodi,California,US,4/1/2018,4/1/2018,
Sélection Laurence Féraud,Gigondas,Rhône Valley,France,4/1/2018,4/1/2018,
Sbragia,Moon Mountain District Sonoma County,California,US,4/1/2018,4/1/2018,
Tenuta Buon Tempo,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Teperberg,,Shomron,Israel,4/1/2018,4/1/2018,
